country	year	comments	quotes	countryCode
Taiwan	April 2017	Negative	Brushed aside idea of having another phone call with Taiwan's president: "“Look, my problem is I have established a very good personal relationship with [China's] President Xi. I really feel that he is doing everything in his power to help us with a big situation. So I wouldn’t want to be causing difficulty right now for him.”	TWN
Turkey	May 2017	Positive	The Turkish people have faced horrible terrorist attacks in recent years and even recently. We offer our compassion to the victims, and we offer our support to the Turkish nation. We support Turkey in the first fight against terror and terror groups like ISIS and the PKK, and ensure they have no safe quarter, the terror groups. We also appreciate Turkey’s leadership in seeking an end to the horrific killing in Syria.	TUR
Ukraine	Sept. 2017 (twice)	Both	I wouldn’t say it’s the easiest place right now to live, but you’re making it better and better on a daily basis. And I do hear very, very good things. So Ukraine is coming along pretty well — pretty well.	UKR
United Kingdom	July 2018	Negative	Of UK Prime Minister Theresa May's Brexit plan: "‘I would have done it much differently. I actually told Theresa May how to do it, but she didn’t listen to me.’’	ENG
United Kingdom	July 2018	Negative	Of UK Prime Minister Theresa May's Brexit plan: "‘I would have done it much differently. I actually told Theresa May how to do it, but she didn’t listen to me.’’	SCT
United Kingdom	July 2018	Negative	Of UK Prime Minister Theresa May's Brexit plan: "‘I would have done it much differently. I actually told Theresa May how to do it, but she didn’t listen to me.’’	WLS
United Kingdom	July 2018	Negative	Of UK Prime Minister Theresa May's Brexit plan: "‘I would have done it much differently. I actually told Theresa May how to do it, but she didn’t listen to me.’’	NIR
United States	January 2017	Negative	Mothers and children trapped in poverty in our inner cities; rusted-out factories scattered like tombstones across the landscape of our nation; an education system, flush with cash, but which leaves our young and beautiful students deprived of knowledge; and the crime and gangs and drugs that have stolen too many lives and robbed our country of so much unrealized potential. This American carnage stops right here and stops right now.	USA
Uzbekistan	May 2018	Positive	Referring to Uzbekistan President Shavkat Mirziyoyev: “He’s a highly respected man in his country. We’ve been working very closely together on different things, including trade.”	UZB
Venezuela	April 2017	Negative	Venezuela is a mess. I’m very sad for Venezuela. I’m very sad to see what’s happened in Venezuela. Venezuela is a very sad situation.	VEN
Vietnam	November 2017	Positive	Vietnam has truly become one of the great miracles of the world, and it's very impressive. No matter where you come from, no matter who you are, when you look at what's happened in Vietnam, there is nothing more impressive.	VNM
Virgin Islands	October 2017	Unsure	I will tell you I left Texas and I left Florida and I left Louisiana and I went to Puerto Rico and I met with the President of the Virgin Islands. "The Virgin Islands and the President of the Virgin Islands, these are people that are incredible people, they suffered gravely and we're be there, we're going to be there, we have really, it is not even a question of a choice."	VGB
Yemen	2017-18	Negative	Administration has fought to ban immigrants from this and other countries.	YEM
Zimbabwe	May 2015	Negative	The Elephants in Zimbabwe are so abundant that they are devastating the National Forest.	ZWE
